Product/s,Application/s,Component/s,Region(s),"Measures, Solutions & Updates",Summary,Description,Customer/s
BTN8962TA,None,,JAPAN,thanks,dI/dt (short circuit situation) based on the Rsr value,"BTN8962TA can adjust the switching speed by Rsr value.  _x000D_
_x000D_
The question is..._x000D_
How about the dI/dt, when a short circuit situation happens?_x000D_
Is dI/dt also “adjusted” (changed)?_x000D_
_x000D_
If you have short circuit current plots with several kinds of Rsr values, would you provide the plots?_x000D_
_x000D_
Mitsuba, PTG_x000D_
_x000D_
Answer:_x000D_
1. The slew rate resistance gives only minor effect on dI/dt, when short circuit happens._x000D_
2. The inductance of the short circuit wire has major effect on dI/dt, when short circuit happens._x000D_
3. The measurement results based on one device are attached._x000D_
",AVNET
TLE5046IC-PWM-R050TLE5046IC-PWM-R100TLE5046IC-PWME-R050TLE5046IC-PWME-R100,None,,KOREA,"See attached Powerpoint and Visio file for solution._x000D_
_x000D_
As discussed, with some rerouting of existing signals and using few spare parts (extra logic gates already available in the silicon), we managed to change the priority between standstill and warning pulse. Technically, this has been made according to the drawing of the pptx. If more details are needed do not hesitate to ask again. ",TLE5046iC-PWM metal fix block diagrams for customer explanation.,Customer wants to know which parts will be changed to remove the warning pulse in standstill situation. ,ZF
TLE5046IC-PWME-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"[1] Check picture in page 2. When the wheel is moving, at each speed event the temperature is measured and the delta from the previous sample is calculated. If this delta is too big, then the temperature watchdog is triggered. When we are in standstill, at each standstill event the temperature is sampled and the delta from the last speed event is calculated (see the figure). If the delta is too big, then the temperature watchdog is triggered_x000D_
_x000D_
[2] At high temperature (T > 150°C), the offset drift due to temperature change is much bigger than in normal operating temperatures, hence the threshold on the deltaT is smaller for T > 150°C. For this reason we made this difference in the concept._x000D_
_x000D_
[3] I checked the VHDL_x000D_
- The condition on the temperature is ""bigger than"" -> 150 is in the column on the left_x000D_
- The condition on the field is ""smaller than"" -> 4.15 (corresponding to 96*dBlimit, this is coded in VHDL) is in the last row ",Temperature Watchdog questions from Denso,"Denso has some questions about Tmperature watchdog._x000D_
First I explained Temperature Wd detail by using attachment which you prepared before._x000D_
And they came up with some questions._x000D_
_x000D_
Could you please help to qularify the answer?_x000D_
_x000D_
[1]They understood IC monitors temperature change during standstill and if it excesses the the threshold, watchdog activates._x000D_
They have question that during normal operation, IC monitors temperatue change between 2 magnetic periodical signals and if sudden huge temperature change occurs during 2 signals, the watchdog activates?_x000D_
Or watchdog only activates during standstill mode?_x000D_
_x000D_
--> I recognize the answer is former._x000D_
    During normal operation, if such huge temperature change occurs, watchdog activates. But if temperature change is within threshold and next input signal comes, IC adjust the offset everytime._x000D_
Is my recognition correct?_x000D_
_x000D_
[2]Please refer to page6._x000D_
 They would like to know why the threshold value is different between ""T<150degC"" and ""T>150degC"" cases._x000D_
_x000D_
--> Can you make simple sentense why this is different?_x000D_
_x000D_
[3]Also please refer to page6._x000D_
■Temperature T <150degC or T > 150degC_x000D_
Which zone is ""150degC"" included in?_x000D_
_x000D_
■Bx amplitude, <4.15 or >4.15_x000D_
Which zone is ""4.15"" included in?_x000D_
_x000D_
--> Can you clarify this point to check the digital circuit description?_x000D_
     (I assume this depends on VHDL description)_x000D_
",CONTINENTAL
TLE5501_E0002,ATV_SAFETY_DRIVER_ASSISTANCE_SYSTEMS,,JAPAN,"Hi Takamitsu,_x000D_
_x000D_
we will have M8 by end of this month, so QS are available._x000D_
_x000D_
The T-drift data for one-point and onging calibration are in attached slides.",TLE5501 evaluation for JTEKT EPS MPS ,"Hello _x000D_
_x000D_
Regarding TLE5501 products, _x000D_
JTEKT requested the following 2 items. _x000D_
_x000D_
I believe that the status of TLE5501 is QS. (SOP : July 2018)_x000D_
_x000D_
1. TLE5501 PDS_x000D_
I believe that the status of TLE5501 is QS now, so we can provide it to customer._x000D_
_x000D_
2. TLE5501 temp drift data_x000D_
TMR has best stability of over Temperature._x000D_
JTEKT requests us to provide the comparison data for ideal compensation vs. 1 point calibration. _x000D_
_x000D_
Would you please provide the above data by middle of April (16-Apr)?_x000D_
_x000D_
Best Regards,_x000D_
T. Kondo _x000D_
",DENSO
TLE5046IC-AK-LR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"I spoke with Rene. In our lab we do not use oscilloscope to measure the jitter, we have a dedicated setup using a FPGA to acquire data and measure the period of each pole pair._x000D_
_x000D_
What we do is the following:_x000D_
-we measure the period for each pole pair (period = time between two North/South switching events or two South/North switching events)_x000D_
-we repeat the measurements N times (the wheel rotates N time, usually N = 100)_x000D_
-we calculate the standard deviation of the period for each pole pair over the N measurements. _x000D_
-in this way, for each pole pair we have the jitter of the corresponding period_x000D_
-we average those values obtaining only one jitter value for a certain airgap and Y offset_x000D_
_x000D_
Suggestion for the customer is to send us the encoder wheel to generate a wheel mapping. With the oscilloscope the measurements obtained would not be really reliable, in our experience. ",The methold to maeasure the jitter,"HondaLock has question._x000D_
_x000D_
Now they are trying to measure the jitter in their side._x000D_
pleae check attached picture._x000D_
_x000D_
1 period is 2 output pulse._x000D_
So they want to trigerr 1st output pulse and measure the jitter for 3rd output pulse by using oscilloscope._x000D_
_x000D_
But if they use osiclloscope, it detects every Ihigh current pulse, so oscilloscope detects the jitter of 2nd output pulse._x000D_
_x000D_
They hope our advice how we measure the jitter per 1 period._x000D_
I beleive your have prepared jitter measureing system in your lab._x000D_
(So always recommend customer to provide their encode wheel, if we get it,_x000D_
we can generate jitter and airgap map)_x000D_
_x000D_
Do you have any good advice for HondaLock?_x000D_
_x000D_
_x000D_
",CONTINENTAL
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"I spoke with the analog designers and got the solution for this ticket._x000D_
_x000D_
The old definition of -22V is only valid in combination with a certain value of the external resistor. In reverse the chip is like a diode: e.g. 1V voltage drop over the chip 21V across the resistor._x000D_
_x000D_
This is why we specify the max. reverse current in the data sheet (-200mA for 4hours). There should be no difference between the TLE4941 and the TLE5045/46 regarding reverse polarity._x000D_
_x000D_
",Reverse Polarity Voltage,"Denso has question._x000D_
_x000D_
There's ""Reverse polarity voltage"" spec for TLE4941plusC (Min -22V)_x000D_
But there's no such spec for TLE5046iC._x000D_
_x000D_
If TLE5046iC also has the spec, they need to know that value._x000D_
If TLE5046iC doesn't need to care about reverse polarity voltage,_x000D_
they need to know the reason._x000D_
_x000D_
Could you please give me your comment?_x000D_
",
TLE94110EL,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,"ERAE Automotive Systems has made a decision to split the 2 companies as Thermal and  Elec businesses.
There will be no change of company name, address and payment term for Thermal business.
Furthermore, there will be no other changes for Elec business only except for company name(ERAE Automotive System -> ERAE AMS) 
",ERAE signed joint company with China CASC for air conditioning biz,"ERAE air-conditioning biz division will joint with China CASC for air-conditioning business and expecting official release joint company time frame is March or April 2017.
It will be cross regional business case in near future. Still not yet fixed ERAE internally how to allocate factory and R&D resources.",ZF
IPZ40N04S5-3R1,ATV_CHASSIS_ABS/BRAKING,,AP,"One difficulty is Zthja for 100ms is not available. Based on Zthja of D-pak, just Zthja of the device assumpted and Tj is estimated. The customer will test it.",EPB motor stall condition,EPB motor could bee stalled and MosFET should sustain such a high stall current during 100ms. ST VNH7013(4 of FET dies in one package) had tested under the condition but it was failed. IPZ40N04S5-31 is promoted.,DENSO
IPB180P04P4L-02,ATV_CHASSIS_ABS/BRAKING,,AP,,Relay MosFET failure of IMEB,"During T-car test, e-Relay MosFETs were failued. The customer wanted to know a possible failure modes.",ARROW
TLE8261E,ATV_BODY_LIGHTING,,AP,"TLE8261E copper version [changes of PCN 2014-060-A] is no longer support SBC factory flash mode. Work Around need be implimented according to new PCN 2015-126-A. After impliment Work Around #2, the module can be sucessfully programmed.",TLE8261 Factory flash mode failed on End of Product line of JABIL,TLE8261 Factory flash mode failed on End of Product line of JABIL Guangzhou Site. Project is for VALEO C344 PHEV charger indicator. RO reset pin of TLE8261 is kept in 0V in the test.,NONE
TLE9263QX,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,"ESD cap on the board are changed from 47nF to 100nF and ESD discharging gap are designed on new board. Furthermore, A very likely reason for the HS shutdown is that there will be an inverse current flowing into the HS switch during the ESD pulse because V_HSx > VSHS.  HS switch will not be destroyed but it will shutdown and it will signalize overcurrent.",TLE9263 HSx channels failed in 25kV air discharging ESD test,TLE9263 HSx channels failed in 25kV air discharging ESD test. All the HSx output switch off in the test.,DENSO
SP400-11-00,NONE,,AP,"testing isolar system , no Actual ticket",Simple concept for TPMS APS test bench,Simple concept for TPMS APS test bench,CONTINENTAL
TLE7183QU,ATV_CHASSIS_STEERING,,AP,provide mission profile,MDPS ISO26262 Project - TLE7183QU,"Mobis decide to use TLE7183QU for TM-CAR. 
 <Customer requests> 
  - Circuit design review 
  - Need to check the ECU mission profile for the TLE7183QU",ARROW
IPD90N10S4-06,ATV_PWT_ENGINE_MANAGEMENT,,AP,,48V DC-DC Converter,48V DC-DC converter has multiphase configulation. Customer considers verious number of phases. These slides show MosFET loss range over 6phase to 12phase.,DABO
TLE7183QU,ATV_CHASSIS_STEERING,,AP,"Root cause is wire bond process problem. 
Molding process update",TLE7183QU Relay off issue.,"EPS Field failure issue - EPS Main relay off.
Main reason is TLE7183QU ERR report to MCU, MCU Relay off.
so, test with customer and found out that when all IHx input ""on"" only GH2 output is not working. 
==>QM report : SL2&GH2 is short.
Reference : 800119855020",AVNET
BTT50085-1TMABTT6020-1EKABTT6050-2EKA,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,use  ISO load current for estimation based on Rthjs.,AUIRFP4110 Failure Analysis at HV DCDC converter,"customer want to confirm the bondwire current capacity for safe reason about 3 components,BTT6050-2EKA, BTT6020-1EKA, BTS50085-1TMA.",ZF
TDA5235,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,please refer attachment,TDA5235 Receiver does not response to keyfob’s press,"Preliminary observation,
–Glitch appear when TDA5235 Receiver does not response to keyfob’s press
–However, Glitch also appear when TDA5235 Receiver does response to keyfob’s press.
–Glitch is not always found on the same application board.
›Root cause of glitch can be signal cross coupling on application board or SW application or TDA5235.",DENSO
TLE7244SL,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,,TLE7244SL oscillator frequency and tolerance,Request from customer to provide the internal oscillator frequency and tolerance for the TLE7244SL. Customer requires this information to analyse the possible causes of EMC on their PCB.,CONTINENTAL
TLE8888QK,NONE,,AP,*,Overcurrent detection mechanism,TLE8888 has a overcurrent detection function on low side switch channel. and it's a little complicated. it has a filtering timer and threshold on current level to trigger the OC protection . I draw a picture to explain the functionality.,ARROW
TLF35584QVVS2,ATV_CHASSIS_STEERING,,AP,provide test report,TLF35584 CE&RE test 400kHz operation (with/without Pi-filter),"Customer requested cost effective solution for TLF35584 Pi-filter.
Test condition
–Conducted and radiated Emission test
–400kHz operation mode
–with and without spread spectrum (6% FM)
–Different input filter setups
–Influence of capacitor type
–Influence of electrical shielded Inductor",DABO
TLE7189FTLE7189QU,ATV_CHASSIS_STEERING,,AP,we prepared a excel sheet for customer to calculate the current consumption of TLE7189,current consumption check for TLE7189,This BOSCH JV called BOSCH Huayu in China. It's EPS project in development. Customer want to  check with us about the current consumption of TLE7189.,AVNET
TLE9868QXB20,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,"This failure comes from the infineon Back-end test. The new released test program had configure the 100TP program counter to 0xFF, which should be 0x00",100TP write failure,"Bosch can download their code to flash, but if they write the PCB version code to the 100TP, it will generate an error.",ZF
IPD90N10S4-06,ATV_PWT_ELECTRIC_DRIVE_TRAIN,,AP,The failure mode was analyzed and new FET and gate driver was promoted.,Gate false trigger by CdV/dt at 48V DC-DC,"Using AUIRFR3114Z and AUIRS2181S, switching MosFET on 48V DC-DC were heated up even at low load. This failure mode seems to be false gate trigger by high CdV/dt.",DENSO
TLE6288R,NONE,,AP,0,TLE6288 wrong configuration,in slides,CONTINENTAL
TLF35584QVVS2,ATV_CHASSIS_STEERING,,AP,"Main problem : customer was changed buck output capacitor cheper than before used capacitor.
The ESR value @-40deg C : old one 3ohm, new one 12ohm.
voltage ripple was increased.",-40deg C Cold temperature Buck output OV issue.,TLF35584 Pre-regulator buck OV issue during cold temperature test.,ARROW
TLE4470G,ATV_BODY_LIGHTING,,AP,LOT product failure issue,TLE4470G field failure issue (Q1 output OV),"Failure case : abnormal Q1 output 6.xxV (ref. Q1 output voltage : 5v)

- Customer failure symptom is strange; Failure symptom was disappeared after some handling like de-soldering or multi-measurement. Infineon AE confirmed customer symptom, but it disappeared during further electrical measurement.
- All FA samples showed same parameter drift out of Infineon internal limit, but it is still within spec. FA samples are still rejected at ATE test by parameter drift out although customer failure is disappeared.",DABO
IPB50N10S3L-16,ATV_PWT_ELECTRIC_DRIVE_TRAIN,,AP,,Field winding for 48V BSG Inverter,48V BSG use clawpole motor and the motor has a winding on stator. The winding current on the stator will be managed by PWM. The attached explans the application and it shows IFX soution.,AVNET
IPD90N10S4-06,ATV_PWT_ENGINE_MANAGEMENT,,AP,,MosFET Failure by Surge voltage on 48V DC-DC Converter,"During field test, FETs were damaged. The possible cause is guessed as a surge voltage from outside of DC-DC converter. The converter is connected to 48V starter-generator and an unconroled issue from the start-generator can cause a surge voltage into DC-DC converter.",ZF
TLE7182EM,ATV_CHASSIS_ABS/BRAKING_PARK_BRAKE,,AP,"Need to change external DGND and PGND connection. 
Customer must connect DGND and PGND on PCB.",TLE7182EM Failure issue(DGND and PGND separated issue),"The TLE7182EM had been destroyed after durability test.
They use our TLE7182EM x 2 for EPB.
But one of TLE7182EM destroyed after test.
the destroyed TLE7182EM GND is not followed our guide.
they use separated GND for DGND vs PGND.",DENSO
IPLU300N04S4-1R1,ATV_CHASSIS_ABS/BRAKING,,AP,"This is more related with DC-DC system issue. Unstable output during transient period makes this idea's implementation. As a braking application, this idea may not good. ",Boost for AEB,"AEB(Autonamous emergengy braking) requires a higher braking torque. To respond the higher braking, a higher supply voltage should be supplied. The boost conver should supply instantly a required higher voltage from 12V.",CONTINENTAL
TLE7182EM,ATV_CHASSIS_ABS/BRAKING_PARK_BRAKE,,AP,provide detail information.,TLE7182EM Failure issue.,"When Error condition, TLE7182EM report ERR pin low.
But, customer want to know which error condition UV_Shutdown or SCD.
They requested detail information about it.",ARROW
TLE8242-2L,NONE,,AP,*,Unstability of current control loop,"Customer used our TLE8242-2L to driver solenoid and found the current is not stable. After checking on site, we found the KP/KI parameters are not right determined. I calculated the right range of  KP/KI according to the load impedance and solved it.",DABO
IPC100N04S4-02,ATV_CHASSIS_ABS/BRAKING,,AP,"modeling and simulation was done for loss estimation. But it is difficult to estimate Tj because Zthja is not available. However, generally, Zthja may be similar as Zthja under 500us. So, as far as the test time is below 500us, this simulation may be affective. The customer will test on her board and compare the short current waveform to check the model's accuracy.",EPB motor short current,"One of failure modes of EPB motor is internal short of the motor. During short current will flow through high side FET, the customer wants to estimate how long time could the FET survive? From 12V battery to the motor, the impedance was estimated and modeled into electical system for simulation.",AVNET
TLE7184F,NONE,,AP,"Internally between Gate (GHx/GLx) and Source (SHx/SLx) there is only an
NMOS to discharge the gate of the external MOSFET. Depending of the charge on the gate the NMOS can have different
(undefinable) output characteristic. The charge of the gate is not predictable as it depends on when the device
was powered on the last time, temperature, small lot differences, etc.
Thus it is not possible to specify the “resistance” of the NMOS
Measurement of the resistance in the ICT is not possible",Customer reported ICT test fail on TLE7184F,"Customer reported ICT test fail on TLE7184F.after checking with customer, I found they use wrong test setup on this functions. After discussion with customer, they accepted to change the test setup.",ZF
TLE8888QK,NONE,,AP,*,Variable Reluctance Sensor 4 detection modes,"TLE8888 has a VRS interface, which can be configured as auto/manual mode, even could support HALL sensor. attached document explained the detailed functionality.",DENSO
IPC90N04S5L-3R3,ATV_CHASSIS_ABS/BRAKING,,AP,New proposal for cost reduction based on performance engineering was accepted and it will compete competitors.,Valve high side driver for MEB5,"As replacement of the current MosFET, TDSON-8 is compared to D-pak.",CONTINENTAL
TLE8242-2L,NONE,,AP,*,TLE8242 control loop,TLE8242 has internal PI controller and it maybe has stability issue depending on parameters determined. The attached give a error analysis in theory.,ARROW
IPC100N04S5L-1R5IPD60N10S4L-12IPD90N06S4-07IPD90N08S4-05,ATV_PWT_ENGINE_MANAGEMENT,,AP,"As per the recommandation, the customer made new PCB board and the output ripple was daramatically reduced.",48V DC-DC converter ouput ripple issue,The end customer's ouptut ripple of the 48V DC-DC converter is 1Vpk-pk but the customer's board has max. 5V peak to peak output ripple. This report shows the reason why the board has so high output ripple and how to resolve it.,DABO
TLE9180-21QK,ATV_CHASSIS_ABS/BRAKING,,AP,,TLE9180 SCD issue.(DT setting issue),"Customer have SCD, because of too low DT time setting.
They use S/W DT below 1us. 
our DT time recommend over 1us.
They requested Test for HW DT vs SW DT.",AVNET
BTS5482SF,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,Update: Detection of the 150mA front LED outage is not possible. The max sense leakage current is 70uA which corresponds to a load current of ~ 483mA. It is not possible to differentiate between the sense leakage current and a front LED outage.,Bulb / LED outage detection - Channel 0 BTS5482SF,"Channel 0 of BTS5482SF controls the left front and rear turn signal. The customer is moving to an LED front turn signal and would like to know if diagnosis of a bulb outage is still possible for both front and rear turn signals. This diagnosis is necessary meet the n-1 statutory requirements.
The loads are 
- Rear bulb 21W
- Side LED 30mA
- Front LED 150mA.",ZF
BTN8980TA,NONE,,AP,0,BTN8980TA vs. MC33981,Fighting guide between BTN8980TA and MC33981.,DENSO
TLE8888QK,NONE,,AP,*,TLE8888 application Q/A,"Q#1: CAN wake up功能是否只受CANWKEN pin控制？ 
Q#2: After run时候会发生power down的现象如何解释？
Q#3:运行图operation state diagram的解释
Q#4: WWD,FWD的配置图",CONTINENTAL
TLE7183QU,ATV_CHASSIS_STEERING,,AP,,TLE7183QU abnomal GH1 output delay behavor during pwm control.,"EPS Field failure issue.
TLE7183QU abnormal GH1 output delay behavior during PWM control.
1. QM Report (NTF) => Return customer : same malfunction behavior 
2. NTF device Test with customer : malfunction behavior confirmed
3. QM Report (NTF) => Requested retest using customer test condition.
4. QM Report (Confirmed)",ARROW
AUIRF2804S,ATV_CHASSIS_ABS/BRAKING,,AP,This quality issue was come down.,AUIRF2804S design review due to the customer's in-line failure,"At hot chamber, the customer's design review was requested and thermal performance was estimated.",DABO
TLE8718SA,NONE,,AP,"checked with customer's access register code. It seems stage de-activated. I suggested customer try after WR_START, read DIAREG6, and ensure set DIAREG6.MSC_MON bit.  it works!",Solve TLE8718SA's MSC failure,"Can not access OUT1516, OUTREG_ODD, OUTREG_EVEN",AVNET
BTN8980TA,NONE,,AP,"The NovalithIC family has a EMI problem at the IS-pin.
",Report of BTN8980TA EMC issue in Keboda,"The EMC interference to BTN8980 will make the accuracy of current sense worse if HF is entering the OUT-pin of the device, which mainly occurs, when output wire length is longer. Less than 10cm is strongly recommended.",ZF
HIG-GBD1,ATV_PWT_ELECTRIC_DRIVE_TRAIN,,AP,,Blow pump cusotmer has no experiment of Inverter with IGBT,"customer has no experiment for temp sensor of IGBT (NTC)
provided NTC explanation and characterisitics which one is used in HIG-GBD1",DENSO
TLE8718SA,ATV_PWT_ENGINE_MANAGEMENT,,AP,"for Long term, TIER should change wiring to use CH16 in parallel or change H/W. for short therm screening process needed --> closed",SCB happens at CH15 in TLE8718SA,"In AUTRON GDI plaform, field return happens in immo configuration. no same fault in non-immo configuration.",CONTINENTAL
TLE4921-5U,ATV_BODY_DASHBOARD,,AP,"Issue related to high energy pulses coming from battery line. Increasing resistance in such a case will be of no use. Since the 24V diode also input line with power rating of 200mW is not burning, customer has been suggested to upgrade capacitor packages to 1206/1210 and reduce resistance value back to 200Ohm. 

",Input series resistor burn-out,"TT electronics has some sensors returned from field with burnt series resistors both at input and output. In the past, they would replace with a higher resistance. But they still have same issue. As of now, input resistor value is 560Ohm and resistor at output is 47Ohm in 0805 package.",ARROW
BTS50060-1TEA,ATV_PWT_ENGINE_MANAGEMENT,,AP,,kilis calibration,"customer, MHE requires 3% current sensing in SCR injector. but BTS50060-1TEA sensing accuracy is out of requirement, so calibration is needed in whole VS range in application. document how to do delivered & had a meeting to explain.",DABO
BCR405UBTS4160DGABTS5180-2EKATLE4253ETLE84106TLE84110EL,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,The case has been business won and closed.,ERAE China placed initial order of Fiat 523 ACM,ERAE China plant starting HVAC controller production for local Chinese version of Fiat 523. Main IFX parts are TLE84110/84106/BTS5180/4160/TLE4253E/BCR405U. Estimating revenue is around 1M USD for life time.,AVNET
TLE4921-5U,ATV_BODY_DASHBOARD,,AP,"As per the internal structure of, there is a snapback diode at the input of TLE4921-5U with a snapback voltage of <24V. Exceeding 30V at the input would snap back the voltage to 24V and the device needs to be reset to leave snapback. So, snapback will only delay(because of snap to lower voltage) destruction of device in case of larger power dissipation. 
Also, as per absolute maximum, 24V/200mA of input will have ~5W power dissipation which will burn the device. Hence, an external diode of >=24V is recommended at the input of the device. ",Utility of external clamping diode,Customer wants to optimize on external clamping diode as device already has an internal clamping diode.,ZF
BTN8982TA,ATV_CHASSIS_ABS/BRAKING,,AP,BTN8982TA cannot meet OEM EMC test spec. IFX not recommend to use too high SR resistor.,BTN8982TA EMC Issue,"BTN8982TA Switching time is fast than BTN7970B.
OEM EMC test spec is changed(Ver.G -> Ver.K)
So, BTN8982TA cannot meet OEM EMC test spec.",DENSO
TLE4927C_E6547,ATV_CHASSIS_ABS/BRAKINGATV_PWT_ENGINE_MANAGEMENTATV_PWT_TRANSMISSION,,AP,,Knoweldge sharing about Ag migration,Ag migration is one of field failure issues of magnetic speed sensor including capacitor components such as TLE4927C. It explains what is the ag migration and How it occurred.,CONTINENTAL
TLE4946-2K,ATV_BODY_POWER_OPERATED_SYSTEMS_DOOR_MODULE,,AP,provided the data that had been measured earlier. Attaching here for future reference also.,Characterisation data for Is Vs Temp,Customer requested characterization data for TLE4946-2K similar to what is available In the new family of TLE4946.,ARROW
TLE4964-2M,ATV_BODY_DASHBOARD,,AP,We do not provide reflow temperature profile. But the maximum package temperature of PG-SOT-3-15 is 260degC.,Reflow Soldering Temperature,Customer wants to know reflow soldering profile or the maximum temperature for the package,DABO
TLE8888QK,ATV_PWT_ENGINE_MANAGEMENT,,AP,"Find root cause, show OEM/TIER about possible root cause. Then provide workaround",Wrong OUTn diagtnosis in PPS,"OEM/TIER found OUTn OL/SCG whenver key on in PPS.
Due to first design in TIER, OEM doubts TIER's ability to develop.",AVNET
